,College,Departments,"1.1 Teaching in large class environments Competence[Novice,Advanced]","1.2 Facilitating learning through group work Competence[Novice,Advanced]","1.3 Using effective classroom management techniques with Canvas or other tools Competence[Novice,Advanced]","1.4 Using Canvas for course design Competence[Novice,Advanced]","1.5 Aligning course goals, objectives, assessments, and content Competence[Novice,Advanced]","1.6 Using open educational resources Competence[Novice,Advanced]","1.7 Using inclusive multimedia* to enhance courses Competence[Novice,Advanced]","1.8 Creating videos for instructional purposes Competence[Novice,Advanced]","1.9 Having students create and share multimedia projects Competence[Novice,Advanced]","1.10 Teaching distracted students Competence[Novice,Advanced]","1.11 Developing professional development courses Competence[Novice,Advanced]","1.12 Using experiential learning* strategies Competence[Novice,Advanced]","1.13 Choosing the right strategy and tool for course content Competence[Novice,Advanced]",2.1 Designing learning activities for Hybrid/blended* environments.,"2.2 Teaching in Hybrid/blended* environments. Competence[Novice,Advanced]","2.3 Designing learning objects for Asynchronous online* environments. Competence[Novice,Advanced]","2.4 Teaching in Asynchronous online*environments. Competence[Novice,Advanced]","2.5 Designing learning activities for Synchronous online* environments. Competence[Novice,Advanced]","2.6 Teaching in Synchronous online* environments. Competence[Novice,Advanced]","2.7Designing learning activities for Bichronous online* environments. Competence[Novice,Advanced]","2.8 Teaching in Bichronous Online* environments. Competence[Novice,Advanced]",3.1 Managing time effectively,"3.2 Using project management* Skills Competence [Novice,Advanced]","3.3 Using good communication skills Competence [Novice,Advanced]","3.4 Dealing with conflict and team dynamics Competence [Novice,Advanced]","3.5 Using Google Apps* for project management Competence [Novice,Advanced]","3.6 Using Google apps for collaboration Competence [Novice,Advanced]","3.7 Using Microsoft Teams for project management Competence [Novice,Advanced]","3.8 Using Office365 for collaboration Competence [Novice,Advanced]","3.9 Using Adobe software for visual design projects (e.g. Photoshop, AfterEffect and Illustrator etc.) Competence [Novice,Advanced]","3.10 Using Office365 for document, spreadsheet, and/or presentation creation Competence [Novice,Advanced]","3.11 Choosing the right technology for the job required Competence [Novice,Advanced]","3.12 Reporting productivity using VTelements* (for EFARS) Competence [Novice,Advanced]","3.13 Using web content management tools (e.g. Ensemble etc.) Competence [Novice,Advanced]","3.14 Improving cyber security Competence [Novice,Advanced]",4.1 Developing surveys or instruments for research,4.2  Using quantitative tools for research,"4.3 Using qualitative data for research Competence [Novice,Advanced]","4.4 Using mixed methods for research Competence [Novice,Advanced]","4.5 Navigating the publication process Competence [Novice,Advanced]","4.6 Data visualization Competence [Novice,Advanced]","4.7 Using a citation manager Competence [Novice,Advanced]","4.8 Using scholarly databases and journals Competence [Novice,Advanced]","4.9 Finding and using existing data Competence [Novice,Advanced]","4.10 Managing and sharing data Competence [Novice,Advanced]","4.11 Working with large scale data Competence [Novice,Advanced]","4.12 Understanding ethics in research Competence [Novice,Advanced]","4.13 Conducting structured reviews, literary reviews and evidence synthesis Competence [Novice,Advanced]","4.14 Understanding the grant process Competence [Novice,Advanced]","4.15 Building scholarship of teaching and learning Competence [Novice,Advanced]",5.1 Developing assessments aligned with instructional goals and objectives,5.2 Using authentic assessments*,"5.3 Using technology to design, deliver, and grade assessments Competence[Novice,Advanced]","5.4 Using Canvas: for tests and quizzes Competence[Novice,Advanced]","5.5 Using questions and strategies for increasing student feedback and using it Competence[Novice,Advanced]","5.6 Assessing your course for quality Competence[Novice,Advanced]","5.7 Applying UDL principles for flexible assessment Competence[Novice,Advanced]","5.8 Using peer assessment and feedback Competence[Novice,Advanced]","5.9Integrating pathways assessment* strategies Competence[Novice,Advanced]","5.10 Finding ways to expand assessment options Competence[Novice,Advanced]",6.1 Using/showcasing accessible technologies to increase student awareness and success,"6.2 Making course materials accessible for all students (Universal Design for Learning*, Ally* within Canvas, etc.)",6.3 Cultivating belonging with students,"6.4 Helping students become self-regulated learners Competence[Novice,Advanced]","6.5 Creating a welcoming and affirming environment Competence[Novice,Advanced]","6.6 Understanding and using inclusive pedagogy* Competence[Novice,Advanced]","6.7 Leveraging UDL to make learning welcoming, accessible, and meaningful for all students Competence[Novice,Advanced]","6.8 Creating meaningful metrics for inclusion and diversity Competence[Novice,Advanced]","6.9 Using PREP* or Adobe Acrobat to design accessible educational materials Competence[Novice,Advanced]","6.10 Increasing cultural competencies Competence[Novice,Advanced]","7.1 Engaging with neurodiverse audiences (autism, ADHD, and others)",7.2 Connecting Schools and Museums,7.3 Communicating research with a non-academic audience,7.4 Using culturally-relevant/sensitive engagement with the public,7.5 Assessing & evaluating the impact of outreach and engagement
Department of Entomology,College of Agriculture and Life Sciences,,25.0,0.0,0.0,0.0,25.0,0.0,50.0,25.0,25.0,50.0,0.0,0.0,0.0,0.0,50.0,25.0,25.0,0.0,50.0,25.0,0.0,75.0,0.0,0.0,25.0,0.0,75.0,25.0,0.0,50.0,0.0,25.0,50.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,75.0,0.0,25.0,0.0,0.0,25.0,75.0,25.0,0.0,25.0,50.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,25.0,25.0,50.0,25.0,25.0
Department of Equine Medical Center,College of Veterinary Medicine,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0
Department of Finance Insurance & Business Law,College of Business,,0.0,0.0,16.666666666666664,0.0,66.66666666666666,16.666666666666664,33.33333333333333,33.33333333333333,16.666666666666664,50.0,16.666666666666664,16.666666666666664,0.0,0.0,66.66666666666666,83.33333333333334,66.66666666666666,66.66666666666666,66.66666666666666,50.0,0.0,33.33333333333333,16.666666666666664,16.666666666666664,50.0,33.33333333333333,50.0,33.33333333333333,50.0,16.666666666666664,50.0,66.66666666666666,33.33333333333333,50.0,0.0,33.33333333333333,16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,33.33333333333333,33.33333333333333,0.0,0.0,50.0,50.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,33.33333333333333,0.0,0.0,40.0,40.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,40.0,20.0,60.0,40.0,40.0
Department of Food Science and Technology,College of Agriculture and Life Sciences,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,60.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,20.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,20.0,0.0,60.0,60.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,60.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,100.0,100.0
Department of Geosciences,College of Science,,22.22222222222222,11.11111111111111,22.22222222222222,0.0,44.44444444444444,0.0,0.0,22.22222222222222,0.0,55.55555555555556,11.11111111111111,22.22222222222222,0.0,0.0,25.0,12.5,12.5,0.0,50.0,0.0,0.0,37.5,0.0,12.5,12.5,25.0,50.0,12.5,0.0,37.5,12.5,75.0,12.5,12.5,0.0,12.5,25.0,0.0,0.0,0.0,12.5,0.0,0.0,25.0,12.5,0.0,12.5,0.0,37.5,0.0,50.0,50.0,12.5,12.5,12.5,25.0,12.5,12.5,0.0,0.0,50.0,75.0,0.0,0.0,50.0,12.5,0.0,12.5,0.0,0.0,62.5,37.5,12.5,37.5,50.0
Department of History,College of Liberal Arts and Human Sciences,,33.33333333333333,16.666666666666664,0.0,16.666666666666664,33.33333333333333,50.0,100.0,50.0,0.0,83.33333333333334,0.0,0.0,0.0,0.0,16.666666666666664,66.66666666666666,83.33333333333334,83.33333333333334,83.33333333333334,33.33333333333333,0.0,20.0,0.0,40.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,60.0,20.0,20.0,80.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,40.0,20.0,60.0,20.0,0.0,60.0,60.0,60.0,60.0,20.0
Department of Human Development and Family Science,College of Liberal Arts and Human Sciences,,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,60.0,60.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,50.0,50.0,75.0,75.0
Department of Human Nutrition Foods and Exercise,College of Agriculture and Life Sciences,,0.0,0.0,0.0,0.0,33.33333333333333,16.666666666666664,33.33333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333,0.0,50.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,33.33333333333333,33.33333333333333,16.666666666666664,0.0,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,16.666666666666664,33.33333333333333,0.0,50.0,33.33333333333333,0.0,0.0,33.33333333333333,50.0,16.666666666666664,0.0,16.666666666666664,33.33333333333333,0.0,50.0,0.0,0.0,50.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,66.66666666666666,33.33333333333333,0.0,16.666666666666664,16.666666666666664
Department of Industrial and Systems Engineering,College of Engineering,,12.5,12.5,12.5,0.0,50.0,12.5,0.0,12.5,0.0,50.0,0.0,25.0,0.0,0.0,42.857142857142854,28.57142857142857,14.285714285714285,28.57142857142857,57.14285714285714,14.285714285714285,0.0,71.42857142857143,14.285714285714285,28.57142857142857,28.57142857142857,14.285714285714285,42.857142857142854,28.57142857142857,28.57142857142857,0.0,28.57142857142857,14.285714285714285,28.57142857142857,14.285714285714285,0.0,28.57142857142857,28.57142857142857,14.285714285714285,14.285714285714285,28.57142857142857,28.57142857142857,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285,42.857142857142854,28.57142857142857,14.285714285714285,0.0,14.285714285714285,28.57142857142857,28.57142857142857,0.0,0.0,14.285714285714285,28.57142857142857,42.857142857142854,14.285714285714285,0.0,42.857142857142854,42.857142857142854,0.0,0.0,0.0,14.285714285714285,0.0,42.857142857142854,28.57142857142857,0.0,42.857142857142854,0.0,14.285714285714285,14.285714285714285,28.57142857142857
Department of Large Animal Clinical Sciences,College of Veterinary Medicine,,28.57142857142857,0.0,0.0,0.0,0.0,14.285714285714285,14.285714285714285,57.14285714285714,0.0,14.285714285714285,0.0,28.57142857142857,0.0,0.0,28.57142857142857,28.57142857142857,14.285714285714285,14.285714285714285,57.14285714285714,0.0,0.0,71.42857142857143,0.0,14.285714285714285,28.57142857142857,14.285714285714285,28.57142857142857,0.0,14.285714285714285,14.285714285714285,14.285714285714285,0.0,14.285714285714285,0.0,0.0,42.857142857142854,28.57142857142857,14.285714285714285,0.0,14.285714285714285,14.285714285714285,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,14.285714285714285,0.0,0.0,57.14285714285714,0.0,14.285714285714285,0.0,28.57142857142857,0.0,28.57142857142857,0.0,0.0,85.71428571428571,85.71428571428571,0.0,0.0,14.285714285714285,0.0,14.285714285714285,28.57142857142857,0.0,0.0,71.42857142857143,28.57142857142857,42.857142857142854,57.14285714285714,85.71428571428571
Department of Management,College of Business,,0.0,25.0,25.0,0.0,62.5,25.0,37.5,37.5,12.5,37.5,0.0,0.0,0.0,12.5,50.0,37.5,50.0,62.5,62.5,25.0,0.0,42.857142857142854,0.0,28.57142857142857,14.285714285714285,0.0,28.57142857142857,0.0,14.285714285714285,0.0,0.0,71.42857142857143,14.285714285714285,0.0,0.0,57.14285714285714,14.285714285714285,0.0,0.0,14.285714285714285,42.857142857142854,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,28.57142857142857,14.285714285714285,71.42857142857143,0.0,0.0,71.42857142857143,85.71428571428571,0.0,28.57142857142857,0.0,14.285714285714285,14.285714285714285,42.857142857142854,14.285714285714285,0.0,57.14285714285714,57.14285714285714,0.0,0.0,14.285714285714285,14.285714285714285,28.57142857142857,42.857142857142854,0.0,0.0,42.857142857142854,28.57142857142857,28.57142857142857,28.57142857142857,42.857142857142854
Department of Marketing,College of Business,,0.0,66.66666666666666,0.0,0.0,100.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,50.0,100.0,100.0,0.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,100.0,0.0,0.0,50.0,0.0
Department of Materials Science & Engineering,College of Engineering,,20.0,20.0,20.0,0.0,0.0,40.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,20.0,40.0,20.0,0.0,80.0,0.0,20.0,40.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,60.0,0.0,20.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,80.0,80.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,40.0,60.0,80.0,80.0
Department of Mathematics,College of Science,,14.285714285714285,28.57142857142857,28.57142857142857,0.0,57.14285714285714,14.285714285714285,0.0,42.857142857142854,28.57142857142857,42.857142857142854,0.0,14.285714285714285,0.0,0.0,14.285714285714285,42.857142857142854,28.57142857142857,14.285714285714285,57.14285714285714,28.57142857142857,0.0,57.14285714285714,0.0,28.57142857142857,28.57142857142857,14.285714285714285,57.14285714285714,0.0,14.285714285714285,0.0,14.285714285714285,71.42857142857143,0.0,0.0,0.0,42.857142857142854,28.57142857142857,14.285714285714285,0.0,14.285714285714285,57.14285714285714,0.0,28.57142857142857,0.0,42.857142857142854,0.0,28.57142857142857,0.0,28.57142857142857,0.0,71.42857142857143,42.857142857142854,57.14285714285714,14.285714285714285,0.0,28.57142857142857,14.285714285714285,28.57142857142857,0.0,0.0,85.71428571428571,100.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,100.0,42.857142857142854,28.57142857142857,71.42857142857143,100.0
Department of Mechanical Engineering,College of Engineering,,0.0,20.0,10.0,30.0,50.0,20.0,30.0,60.0,30.0,60.0,20.0,30.0,0.0,0.0,33.33333333333333,22.22222222222222,22.22222222222222,22.22222222222222,44.44444444444444,11.11111111111111,0.0,0.0,0.0,22.22222222222222,44.44444444444444,0.0,33.33333333333333,11.11111111111111,11.11111111111111,0.0,0.0,22.22222222222222,22.22222222222222,0.0,0.0,0.0,22.22222222222222,11.11111111111111,0.0,0.0,55.55555555555556,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,11.11111111111111,0.0,11.11111111111111,0.0,11.11111111111111,22.22222222222222,44.44444444444444,11.11111111111111,11.11111111111111,55.55555555555556,0.0,33.33333333333333,11.11111111111111,0.0,37.5,50.0,25.0,0.0,25.0,0.0,12.5,25.0,0.0,0.0,50.0,12.5,12.5,25.0,37.5
Department of Mining and Minerals Engineering,College of Engineering,,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0
Department of Modern and Classical Languages and Literature,College of Liberal Arts and Human Sciences,,9.090909090909092,18.181818181818183,36.36363636363637,27.27272727272727,63.63636363636363,0.0,63.63636363636363,9.090909090909092,18.181818181818183,63.63636363636363,9.090909090909092,9.090909090909092,0.0,9.090909090909092,54.54545454545454,9.090909090909092,9.090909090909092,18.181818181818183,63.63636363636363,18.181818181818183,0.0,18.181818181818183,0.0,36.36363636363637,54.54545454545454,9.090909090909092,54.54545454545454,9.090909090909092,27.27272727272727,27.27272727272727,9.090909090909092,45.45454545454545,36.36363636363637,0.0,0.0,0.0,0.0,9.090909090909092,18.181818181818183,72.72727272727273,0.0,9.090909090909092,27.27272727272727,36.36363636363637,45.45454545454545,0.0,9.090909090909092,18.181818181818183,18.181818181818183,0.0,9.090909090909092,9.090909090909092,18.181818181818183,27.27272727272727,9.090909090909092,54.54545454545454,27.27272727272727,45.45454545454545,45.45454545454545,0.0,40.0,50.0,0.0,0.0,0.0,40.0,0.0,10.0,0.0,0.0,50.0,40.0,20.0,40.0,40.0
Department of Philosophy,College of Liberal Arts and Human Sciences,,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,33.33333333333333,66.66666666666666,0.0,100.0,0.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,66.66666666666666,100.0,0.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,66.66666666666666,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,66.66666666666666,0.0,0.0,33.33333333333333,66.66666666666666,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,33.33333333333333
